app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,app_date
-24,.,.,22-Apr-20,0,SB,19,1,,1,500,5,1,.,3,1,13,250,0,.,.,0,0,3,-1,12/02/2035
-10,.,.,22-Apr-20,0,SO,29,2,R,1,.,5,1,89,.,.,.,.,0.007529167,68.859375,1,0,0,3,1,12/02/2035
1,0,1,22-Apr-20,0,SO,20,1,P,1,.,5,2,0,11,1,10,.,0.023684693,56.6484375,1,2,647,3,3,12/02/2035
-15,.,.,22-Apr-20,0,SO,16,0,P,.,.,.,.,.,.,.,.,.,0.208693366,65.328125,.,0,.,5,-1,12/02/2035
-19,.,.,22-Apr-20,600,SE,18,0,P,.,.,11,1,80,.,0,.,.,0.545006987,51.234375,1,1,37,3,2,12/02/2035
-18,.,.,22-Apr-20,0,SF,16,0,P,.,.,.,.,.,0,.,2,.,0.429499278,59.4765625,.,0,.,5,-1,12/02/2035
8,1,0,22-Apr-20,1,SL,25,4,R,.,.,.,.,.,.,.,.,.,0.043784021,40.359375,.,0,.,5,-1,12/02/2035
17,0,1,22-Apr-20,0,SA,19,0,P,1,950,2,1,0,0,.,.,.,0.189608414,51.75,.,0,0,3,3,12/02/2035
16,1,0,22-Apr-20,160,SO,18,.,P,.,.,.,.,.,19,.,13,.,0,95.125,.,0,.,5,-1,12/02/2035
-9,.,.,22-Apr-20,0,SO,20,1,P,.,200,24,5,0,12,6,19,.,0.226873838,57.515625,2,4,290,1,0,12/02/2035
21,0,1,22-Apr-20,400,SN,20,0,P,.,950,10,2,69,6,3,17,.,0.258482311,47.71875,1,1,0,3,2,12/02/2035
2,1,0,22-Apr-20,400,SO,22,.,P,.,.,33,.,.,23,4,12,.,0.049773855,66.875,1,0,.,5,2,12/02/2035
6,1,0,22-Apr-20,0,SO,16,.,P,.,.,.,.,.,13,.,31,.,0,46.1953125,.,0,.,5,-1,12/02/2035
20,0,1,22-Apr-20,0,SD,19,0,P,1,.,3,2,29,.,.,.,.,0.018332295,9.40625,1,1,0,3,4,12/02/2035
-12,.,.,22-Apr-20,0,SE,21,1,,.,1200,20,2,.,.,3,.,.,0.523693159,42.6796875,1,1,363,3,0,12/02/2035
25,1,0,22-Apr-20,0,SM,26,99999,H,.,3150,15,1,0,.,0,.,186,0,.,.,0,0,3,-1,12/02/2035
11,1,0,22-Apr-20,2400,SC,45,1,R,1,.,2,2,0,.,7,.,.,0.165088444,66.625,1,1,0,3,-1,12/02/2035
41,0,1,23-Apr-20,0,SO,22,0,P,.,.,.,.,.,.,.,.,.,0,.,.,0,.,4,-1,13/02/2035
29,1,0,23-Apr-20,0,SO,16,.,P,.,.,.,.,.,3,.,3,.,0,51.2734375,.,0,.,5,-1,13/02/2035
30,0,1,23-Apr-20,0,SC,21,1,P,1,3300,4,1,95,23,2,18,248,0.043059223,69.640625,1,1,2970,3,3,13/02/2035
