app_id,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,app_date.1,target
1,2020-04-22,0,SO,20,1,P,1,,5,2,0,11,1,10,,0.023684693,56.6484375,1,2,647,3,3,2035-12-02,0.0
8,2020-04-22,1,SL,25,4,R,,,,,,,,,,0.043784021,40.359375,,0,,5,-1,2035-12-02,1.0
17,2020-04-22,0,SA,19,0,P,1,950,2,1,0,0,,,,0.189608414,51.75,,0,0,3,3,2035-12-02,0.0
16,2020-04-22,160,SO,18,,P,,,,,,19,,13,,0.0,95.125,,0,,5,-1,2035-12-02,1.0
21,2020-04-22,400,SN,20,0,P,,950,10,2,69,6,3,17,,0.258482311,47.71875,1,1,0,3,2,2035-12-02,0.0
2,2020-04-22,400,SO,22,,P,,,33,,,23,4,12,,0.049773855,66.875,1,0,,5,2,2035-12-02,1.0
6,2020-04-22,0,SO,16,,P,,,,,,13,,31,,0.0,46.1953125,,0,,5,-1,2035-12-02,1.0
20,2020-04-22,0,SD,19,0,P,1,,3,2,29,,,,,0.018332295,9.40625,1,1,0,3,4,2035-12-02,0.0
25,2020-04-22,0,SM,26,99999,H,,3150,15,1,0,,0,,186,0.0,,,0,0,3,-1,2035-12-02,1.0
11,2020-04-22,2400,SC,45,1,R,1,,2,2,0,,7,,,0.165088444,66.625,1,1,0,3,-1,2035-12-02,1.0
41,2020-04-23,0,SO,22,0,P,,,,,,,,,,0.0,,,0,,4,-1,,0.0
29,2020-04-23,0,SO,16,,P,,,,,,3,,3,,0.0,51.2734375,,0,,5,-1,,1.0
30,2020-04-23,0,SC,21,1,P,1,3300,4,1,95,23,2,18,248,0.043059223,69.640625,1,1,2970,3,3,,0.0
40,2020-04-23,0,SA,20,1,P,,950,13,2,39,20,1,22,,0.083012587,74.921875,1,1,0,3,0,,0.0
43,2020-04-23,420,SO,21,1,R,,250,18,2,,11,,15,0,0.047378897,38.234375,,0,0,3,2,,0.0
38,2020-04-23,1,SO,21,,,,,,,,,,,,0.0,40.21875,,0,,5,-1,,1.0
26,2020-04-23,700,SN,21,,R,1,500,4,,,,0,,526,0.031742534,70.828125,,0,,5,-1,,0.0
34,2020-04-23,0,SD,20,1,P,,,22,1,,,,3,,0.325250065,31.40625,2,0,0,3,0,,0.0
37,2020-04-23,0,SO,22,3,P,,950,10,2,0,16,4,16,,0.144333573,50.1796875,1,2,2119,3,0,,1.0
31,2020-04-23,0,SC,21,1,P,,,11,,297,4,5,17,,0.244124008,55.71875,,0,,5,4,,0.0
65,2020-04-26,1000,SE,22,,R,,,,,,,,,,0.0,,,0,,4,-1,,1.0
86,2020-04-26,1,SF,22,0,P,,,17,,45,3,4,10,,0.174824473,67.03125,,0,,5,-1,,1.0
80,2020-04-26,0,SA,19,1,P,,,13,1,40,3,2,12,,0.02842301,58.296875,,0,0,3,-1,,1.0
53,2020-04-26,0,FT,22,,,,,,,,,,,,0.079172628,,,0,,5,-1,,0.0
