app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,target,income_to_age_ratio,employment_ratio,age_group,income_group
-24.0,,,22-Apr-20,0.0,2,19.0,1.0,3,1.0,500.0,5.0,1.0,,3.0,1.0,13.0,250.0,0.0,,,0.0,0.0,2,-1.0,1,0.0,0.5,18-25,very_low
-10.0,,,22-Apr-20,0.0,14,29.0,2.0,2,1.0,,5.0,1.0,89.0,,,,,0.007529167,68.859375,1.0,0.0,0.0,2,1.0,1,0.0,0.16666666666666666,26-35,very_low
1.0,0.0,1.0,22-Apr-20,0.0,14,20.0,1.0,1,1.0,,5.0,2.0,0.0,11.0,1.0,10.0,,0.023684693,56.6484375,1.0,2.0,647.0,2,3.0,0,0.0,0.3333333333333333,18-25,very_low
-15.0,,,22-Apr-20,0.0,14,16.0,0.0,1,,,,,,,,,,0.208693366,65.328125,,0.0,,4,-1.0,1,0.0,-0.0,18-25,very_low
-19.0,,,22-Apr-20,600.0,5,18.0,0.0,1,,,11.0,1.0,80.0,,0.0,,,0.545006987,51.234375,1.0,1.0,37.0,2,2.0,1,31.57894736842105,0.0,18-25,very_low
-18.0,,,22-Apr-20,0.0,6,16.0,0.0,1,,,,,,0.0,,2.0,,0.429499278,59.4765625,,0.0,,4,-1.0,1,0.0,-0.0,18-25,very_low
8.0,1.0,0.0,22-Apr-20,1.0,11,25.0,4.0,2,,,,,,,,,,0.043784021,40.359375,,0.0,,4,-1.0,2,0.038461538461538464,0.5,18-25,very_low
17.0,0.0,1.0,22-Apr-20,0.0,1,19.0,0.0,1,1.0,950.0,2.0,1.0,0.0,0.0,,,,0.189608414,51.75,,0.0,0.0,2,3.0,0,0.0,0.0,18-25,very_low
16.0,1.0,0.0,22-Apr-20,160.0,14,18.0,,1,,,,,,19.0,,13.0,,0.0,95.125,,0.0,,4,-1.0,2,8.421052631578947,,18-25,very_low
-9.0,,,22-Apr-20,0.0,14,20.0,1.0,1,,200.0,24.0,5.0,0.0,12.0,6.0,19.0,,0.226873838,57.515625,2.0,4.0,290.0,0,0.0,1,0.0,0.3333333333333333,18-25,very_low
21.0,0.0,1.0,22-Apr-20,400.0,13,20.0,0.0,1,,950.0,10.0,2.0,69.0,6.0,3.0,17.0,,0.258482311,47.71875,1.0,1.0,0.0,2,2.0,0,19.047619047619047,0.0,18-25,very_low
2.0,1.0,0.0,22-Apr-20,400.0,14,22.0,,1,,,33.0,,,23.0,4.0,12.0,,0.049773855,66.875,1.0,0.0,,4,2.0,2,17.391304347826086,,18-25,very_low
6.0,1.0,0.0,22-Apr-20,0.0,14,16.0,,1,,,,,,13.0,,31.0,,0.0,46.1953125,,0.0,,4,-1.0,2,0.0,,18-25,very_low
20.0,0.0,1.0,22-Apr-20,0.0,4,19.0,0.0,1,1.0,,3.0,2.0,29.0,,,,,0.018332295,9.40625,1.0,1.0,0.0,2,4.0,0,0.0,0.0,18-25,very_low
-12.0,,,22-Apr-20,0.0,5,21.0,1.0,3,,1200.0,20.0,2.0,,,3.0,,,0.523693159,42.6796875,1.0,1.0,363.0,2,0.0,1,0.0,0.25,18-25,very_low
25.0,1.0,0.0,22-Apr-20,0.0,12,26.0,,0,,3150.0,15.0,1.0,0.0,,0.0,,186.0,0.0,,,0.0,0.0,2,-1.0,2,0.0,,26-35,very_low
11.0,1.0,0.0,22-Apr-20,2400.0,3,45.0,1.0,2,1.0,,2.0,2.0,0.0,,7.0,,,0.165088444,66.625,1.0,1.0,0.0,2,-1.0,2,52.17391304347826,0.03571428571428571,36-45,very_low
41.0,0.0,1.0,23-Apr-20,0.0,14,22.0,0.0,1,,,,,,,,,,0.0,,,0.0,,3,-1.0,0,0.0,0.0,18-25,very_low
29.0,1.0,0.0,23-Apr-20,0.0,14,16.0,,1,,,,,,3.0,,3.0,,0.0,51.2734375,,0.0,,4,-1.0,2,0.0,,18-25,very_low
30.0,0.0,1.0,23-Apr-20,0.0,3,21.0,1.0,1,1.0,3300.0,4.0,1.0,95.0,23.0,2.0,18.0,248.0,0.043059223,69.640625,1.0,1.0,2970.0,2,3.0,0,0.0,0.25,18-25,very_low
40.0,0.0,1.0,23-Apr-20,0.0,1,20.0,1.0,1,,950.0,13.0,2.0,39.0,20.0,1.0,22.0,,0.083012587,74.921875,1.0,1.0,0.0,2,0.0,0,0.0,0.3333333333333333,18-25,very_low
43.0,0.0,1.0,23-Apr-20,420.0,14,21.0,1.0,2,,250.0,18.0,2.0,,11.0,,15.0,0.0,0.047378897,38.234375,,0.0,0.0,2,2.0,0,19.09090909090909,0.25,18-25,very_low
-35.0,,,23-Apr-20,1.0,14,19.0,2.0,1,1.0,200.0,2.0,1.0,,2.0,1.0,5.0,,0.086232583,53.9921875,,0.0,0.0,2,-1.0,1,0.05,1.0,18-25,very_low
38.0,1.0,0.0,23-Apr-20,1.0,14,21.0,,3,,,,,,,,,,0.0,40.21875,,0.0,,4,-1.0,2,0.045454545454545456,,18-25,very_low
26.0,0.0,1.0,23-Apr-20,700.0,13,21.0,,2,1.0,500.0,4.0,,,,0.0,,526.0,0.031742534,70.828125,,0.0,,4,-1.0,0,31.818181818181817,,18-25,very_low
-36.0,,,23-Apr-20,500.0,11,25.0,,2,,,,,,,,,,0.084350414,40.1796875,,0.0,,4,-1.0,1,19.23076923076923,,18-25,very_low
